financial_year,council_area,sex,age_group,number_of_people
2018/19,Dumfries and Galloway,Female,95 and Older,77
2018/19,Dumfries and Galloway,Male,18-64,38
2018/19,Dumfries and Galloway,Male,65-74,56
2018/19,Dumfries and Galloway,Male,75-84,111
2018/19,Dumfries and Galloway,Male,85-94,127
2018/19,Dumfries and Galloway,Male,95 and Older,15
2018/19,Dundee City,Female,18-64,30
2018/19,Dundee City,Female,65-74,62
2018/19,Dundee City,Female,75-84,210
2018/19,Dundee City,Female,85-94,347
2018/19,Dundee City,Female,95 and Older,67
2018/19,Dundee City,Male,18-64,30
2018/19,Dundee City,Male,65-74,44
2018/19,Dundee City,Male,75-84,100
2018/19,Dundee City,Male,85-94,80
2018/19,Dundee City,Male,95 and Older,17
2018/19,East Ayrshire,Female,18-64,29
2018/19,East Ayrshire,Female,65-74,35
2018/19,East Ayrshire,Female,75-84,159
2018/19,East Ayrshire,Female,85-94,207
2018/19,East Ayrshire,Female,95 and Older,57
2018/19,East Ayrshire,Male,18-64,31
2018/19,East Ayrshire,Male,65-74,66
2018/19,East Ayrshire,Male,75-84,96
2018/19,East Ayrshire,Male,85-94,69
2018/19,East Ayrshire,Male,95 and Older,7
2018/19,East Dunbartonshire,Female,18-64,9
2018/19,East Dunbartonshire,Female,65-74,43
2018/19,East Dunbartonshire,Female,75-84,185
2018/19,East Dunbartonshire,Female,85-94,308
2018/19,East Dunbartonshire,Female,95 and Older,77
2018/19,East Dunbartonshire,Male,18-64,11
2018/19,East Dunbartonshire,Male,65-74,31
2018/19,East Dunbartonshire,Male,75-84,73
2018/19,East Dunbartonshire,Male,85-94,79
2018/19,East Dunbartonshire,Male,95 and Older,12
2018/19,East Lothian,Female,18-64,7
2018/19,East Lothian,Female,65-74,20
2018/19,East Lothian,Female,75-84,96
2018/19,East Lothian,Female,85-94,175
2018/19,East Lothian,Female,95 and Older,57
2018/19,East Lothian,Male,18-64,11
2018/19,East Lothian,Male,65-74,28
2018/19,East Lothian,Male,75-84,57
2018/19,East Lothian,Male,85-94,72
2018/19,East Lothian,Male,95 and Older,9
2018/19,East Renfrewshire,Female,65-74,24
2018/19,East Renfrewshire,Female,75-84,102
2018/19,East Renfrewshire,Female,85-94,188
2018/19,East Renfrewshire,Male,65-74,22
2018/19,East Renfrewshire,Male,75-84,38
2018/19,East Renfrewshire,Male,85-94,69
2018/19,Falkirk,Female,18-64,30
2018/19,Falkirk,Female,65-74,56
2018/19,Falkirk,Female,75-84,201
2018/19,Falkirk,Female,85-94,265
2018/19,Falkirk,Female,95 and Older,78
2018/19,Falkirk,Male,18-64,56
2018/19,Falkirk,Male,65-74,38
2018/19,Falkirk,Male,75-84,108
2018/19,Falkirk,Male,85-94,74
2018/19,Falkirk,Male,95 and Older,19
2018/19,Fife,Female,18-64,122
2018/19,Fife,Female,65-74,183
2018/19,Fife,Female,75-84,469
2018/19,Fife,Female,85-94,745
2018/19,Fife,Female,95 and Older,212
2018/19,Fife,Male,18-64,151
2018/19,Fife,Male,65-74,127
2018/19,Fife,Male,75-84,248
2018/19,Fife,Male,85-94,255
2018/19,Fife,Male,95 and Older,47
