date,sex,age_group,council_area_2019,main_client_group,number_of_people,council_area,financial_year
2018-03-31,Male,65-74,S12000039,All Adults,27,West Dunbartonshire,2017/18
2018-03-31,Male,65-74,S12000040,All Adults,36,West Lothian,2017/18
2018-03-31,Male,65-74,S12000041,All Adults,31,Angus,2017/18
2018-03-31,Male,65-74,S12000042,All Adults,45,Dundee City,2017/18
2018-03-31,Male,65-74,S12000045,All Adults,28,East Dunbartonshire,2017/18
2018-03-31,Male,65-74,S12000047,All Adults,117,Fife,2017/18
2018-03-31,Male,65-74,S12000048,All Adults,47,Perth and Kinross,2017/18
2018-03-31,Male,65-74,S12000049,All Adults,216,Glasgow City,2017/18
2018-03-31,Male,65-74,S12000050,All Adults,95,North Lanarkshire,2017/18
2018-03-31,Male,65-74,S92000003,All Adults,1716,Scotland,2017/18
2018-03-31,Male,75-84,S12000005,All Adults,32,Clackmannanshire,2017/18
2018-03-31,Male,75-84,S12000006,All Adults,113,Dumfries and Galloway,2017/18
2018-03-31,Male,75-84,S12000008,All Adults,95,East Ayrshire,2017/18
2018-03-31,Male,75-84,S12000010,All Adults,52,East Lothian,2017/18
2018-03-31,Male,75-84,S12000011,All Adults,29,East Renfrewshire,2017/18
2018-03-31,Male,75-84,S12000013,All Adults,17,Na h-Eileanan Siar,2017/18
2018-03-31,Male,75-84,S12000014,All Adults,99,Falkirk,2017/18
2018-03-31,Male,75-84,S12000017,All Adults,173,Highland,2017/18
2018-03-31,Male,75-84,S12000018,All Adults,65,Inverclyde,2017/18
2018-03-31,Male,75-84,S12000019,All Adults,35,Midlothian,2017/18
2018-03-31,Male,75-84,S12000020,All Adults,61,Moray,2017/18
2018-03-31,Male,75-84,S12000021,All Adults,113,North Ayrshire,2017/18
2018-03-31,Male,75-84,S12000023,All Adults,14,Orkney Islands,2017/18
2018-03-31,Male,75-84,S12000026,All Adults,47,Scottish Borders,2017/18
2018-03-31,Male,75-84,S12000027,All Adults,16,Shetland Islands,2017/18
2018-03-31,Male,75-84,S12000028,All Adults,121,South Ayrshire,2017/18
2018-03-31,Male,75-84,S12000029,All Adults,190,South Lanarkshire,2017/18
2018-03-31,Male,75-84,S12000030,All Adults,43,Stirling,2017/18
2018-03-31,Male,75-84,S12000033,All Adults,116,Aberdeen City,2017/18
2018-03-31,Male,75-84,S12000034,All Adults,144,Aberdeenshire,2017/18
2018-03-31,Male,75-84,S12000035,All Adults,45,Argyll and Bute,2017/18
2018-03-31,Male,75-84,S12000036,All Adults,242,City of Edinburgh,2017/18
2018-03-31,Male,75-84,S12000038,All Adults,155,Renfrewshire,2017/18
2018-03-31,Male,75-84,S12000039,All Adults,56,West Dunbartonshire,2017/18
